year,csection_total_n,csection_total_pct,csection_emergency_n,csection_emergency_pct,csection_planned_n,csection_planned_pct,instrumental_vaginal_n,instrumental_vaginal_pct
1973,5755,5.3052231789,NA,NA,NA,NA,4724,4.5987753473
1974,7150,6.5535604623,NA,NA,NA,NA,5145,5.0465419662
1975,7780,7.5772332385,NA,NA,NA,NA,5309,5.5945456078
1976,9131,9.3636876378,NA,NA,NA,NA,6009,6.7987418537
1977,10085,10.586037138,NA,NA,NA,NA,6590,7.7363762297
1978,10408,11.276517368,NA,NA,NA,NA,6718,8.203687874
1979,10847,11.419697847,NA,NA,NA,NA,6563,7.8002804916
1980,11234,11.719418306,NA,NA,NA,NA,6350,7.5037814332
1981,11199,12.067497818,NA,NA,NA,NA,6050,7.4138522621
1982,10883,11.932590676,NA,NA,NA,NA,5887,7.3293410192
1983,10828,11.99286719,NA,NA,NA,NA,5934,7.468002366
1984,10585,11.510940015,NA,NA,NA,NA,6225,7.6501456293
1985,11443,11.808594072,NA,NA,NA,NA,6244,7.3062566551
1986,11332,11.303402392,NA,NA,NA,NA,6014,6.7633067554
1987,11322,10.980080299,NA,NA,NA,NA,5821,6.3415112428
1988,12021,10.908843414,NA,NA,NA,NA,6173,6.2878155112
1989,12180,10.69969693,NA,NA,NA,NA,6049,5.950518912
1990,12823,10.583525916,NA,NA,NA,NA,6567,6.0616409906
1991,13276,10.888839678,NA,NA,NA,NA,7073,6.5100739091
1992,13079,10.821164109,NA,NA,NA,NA,7155,6.638153378
1993,12940,11.219685606,NA,NA,NA,NA,7436,7.2622151905
1994,12493,11.416013305,NA,NA,NA,NA,7195,7.42204021
1995,11717,11.659286532,NA,NA,NA,NA,6533,7.3588051094
1996,11237,12.057125689,NA,NA,NA,NA,6067,7.4023010944
1997,11325,12.940490882,NA,NA,NA,NA,6187,8.1203816724
1998,11655,13.838262707,NA,NA,NA,NA,5934,8.177157976
1999,11987,14.198569127,NA,NA,NA,NA,5947,8.2098927344
2000,13060,14.821203627,NA,NA,NA,NA,6518,8.6840667759
2001,14257,16.044881101,7264,8.1749327571,4946,5.5662468911,6660,8.927613941
2001,NA,NA,NA,NA,NA,NA,NA,NA
2002,15077,16.173394407,7928,8.5045215134,5610,6.0179573272,7033,9.0000511876
2003,15824,16.374341622,8194,8.4789784663,6006,6.2148821904,7589,9.3905834313
2004,16691,16.786684099,8718,8.7679774716,6423,6.4598209796,7810,9.4393212391
2005,17078,17.206012735,8905,8.9717498187,6808,6.8590311921,7799,9.4903745528
2006,18268,17.744363824,9881,9.5977698128,7311,7.1014366058,8197,9.679628733
2007,18286,17.551976349,9713,9.3231076386,7505,7.2037396095,8362,9.7350284064
2008,18290,17.136539525,10022,9.3899616794,7329,6.8667959637,8386,9.4820275664
2009,18826,17.412617812,10311,9.5368905907,7528,6.9628273075,8363,9.3660055325
2010,19143,16.885866257,10559,9.3139979006,7685,6.7788686302,8663,9.1940482255
2011,18571,16.923805965,10421,9.496687414,7382,6.7272379321,8039,8.8183673022
2012,18888,17.026800444,10633,9.5852376703,7438,6.7050689167,7913,8.5970687613
2013,19240,17.257772276,10621,9.5267567228,7869,7.0582853452,7279,7.8908570561
2014,20130,17.66920923,11007,9.6614498758,8428,7.3977195924,7106,7.5759352645
2015,20034,17.390323085,10737,9.3201506918,8584,7.4512595267,6827,7.1736297915
2016,21137,17.630033697,11206,9.3467454042,9116,7.6035098255,6747,6.8320591362
2017,19964,17.222519367,10395,8.9675460239,8867,7.6493728325,6026,6.2800925443
2018,20074,17.283270338,10487,9.0290752236,8912,7.6730350332,5800,6.0370759735
2019,20315,17.733220437,10842,9.4641189256,8818,7.6973437268,5731,6.0810237256
2020,20251,17.918226139,10997,9.730222352,8607,7.6155336713,6161,6.6412987237
2021,21123,18.546029237,11862,10.414855788,8687,7.6272004917,6034,6.5041176217
2022,19953,19.125442119,11137,10.675088903,8267,7.9241231896,5573,6.6051153199
2022,NA,NA,NA,NA,NA,NA,NA,NA
2023,19178,19.50490216,10653,10.83458769,8047,8.1841666328,5630,7.1134359285
2023,NA,NA,NA,NA,NA,NA,NA,NA
