region,year,csection_total_n,csection_total_pct
Region Blekinge,2019,251,16.63353214
Region Blekinge,2020,261,17.730978261000001
Region Blekinge,2021,278,18.989071037999999
Region Blekinge,2022,287,21.562734786
Region Blekinge,2023,261,20.358814353
Region Dalarna,2019,504,16.315959857999999
Region Dalarna,2020,441,14.739304813
Region Dalarna,2021,388,13.472222221999999
Region Dalarna,2022,385,14.506405426000001
Region Dalarna,2023,400,16.032064127999998
Region Gotland,2019,102,19.805825243000001
Region Gotland,2020,81,17.270788913000001
Region Gotland,2021,105,19.699812383000001
Region Gotland,2022,97,20.905172413999999
Region Gotland,2023,100,21.691973969999999
Region Gävleborg,2019,554,19.835302542000001
Region Gävleborg,2020,484,17.992565056
Region Gävleborg,2021,532,19.917633845000001
Region Gävleborg,2022,459,19.432684166000001
Region Gävleborg,2023,427,20.094117647000001
Region Halland,2019,658,15.438761145000001
Region Halland,2020,648,15.988156921
Region Halland,2021,705,16.853932583999999
Region Halland,2022,643,16.563626996
Region Halland,2023,554,18.326166059999998
Region Jämtland Härjedalen,2019,211,15.606508875999999
Region Jämtland Härjedalen,2020,205,16.154452325000001
Region Jämtland Härjedalen,2021,213,15.95505618
Region Jämtland Härjedalen,2022,194,16.782006920000001
Region Jämtland Härjedalen,2023,222,19.254119687999999
Region Jönköpings län,2019,514,12.296650718
Region Jönköpings län,2020,494,11.684011353000001
Region Jönköpings län,2021,552,13.565986729
Region Jönköpings län,2022,498,13.084603258
Region Jönköpings län,2023,494,13.729849916999999
Region Kalmar län,2019,347,14.297486609
Region Kalmar län,2020,352,14.102564103000001
Region Kalmar län,2021,386,15.678310316999999
Region Kalmar län,2022,338,15.273384546000001
Region Kalmar län,2023,344,16.195856874
Region Kronoberg,2019,387,18.561151078999998
Region Kronoberg,2020,371,17.700381678999999
Region Kronoberg,2021,366,17.420276058999999
Region Kronoberg,2022,344,18.405564472999998
Region Kronoberg,2023,372,20.439560440000001
Region Norrbotten,2019,373,15.587129127000001
Region Norrbotten,2020,375,16.311439755999999
Region Norrbotten,2021,410,17.161992465000001
Region Norrbotten,2022,419,20.009551097999999
Region Norrbotten,2023,368,18.436873747
Region Skåne,2019,2688,17.266187049999999
Region Skåne,2020,2733,17.80340043
Region Skåne,2021,2777,17.912662064999999
Region Skåne,2022,2600,18.175463125
Region Skåne,2023,2426,18.553074335000002
Region Stockholm,2019,5789,20.443549811
Region Stockholm,2020,5925,20.894311810000001
Region Stockholm,2021,5979,20.731622745999999
Region Stockholm,2022,5735,21.870114021999999
Region Stockholm,2023,5566,21.606304102999999
Region Sörmland,2019,589,20.013591572999999
Region Sörmland,2020,519,17.983367983000001
Region Sörmland,2021,598,20.388680531999999
Region Sörmland,2022,617,22.444525282000001
Region Sörmland,2023,541,22.420223788000001
Region Uppsala,2019,786,18.291831510000002
Region Uppsala,2020,790,18.953934741000001
Region Uppsala,2021,809,19.030816279
Region Uppsala,2022,839,21.144153226
Region Uppsala,2023,747,19.793322734
Region Värmland,2019,570,20.622286541000001
Region Värmland,2020,556,20.329067641999998
Region Värmland,2021,550,20.968356842999999
Region Värmland,2022,534,21.266427717999999
Region Värmland,2023,516,22.771403354
Region Västerbotten,2019,572,19.015957447000002
Region Västerbotten,2020,577,19.310575635999999
Region Västerbotten,2021,580,20.258470136
Region Västerbotten,2022,541,20.546904671
Region Västerbotten,2023,504,20.766378244999999
Region Västernorrland,2019,376,15.315682281000001
Region Västernorrland,2020,390,17.210944394999999
Region Västernorrland,2021,443,18.827029324000002
Region Västernorrland,2022,416,20.362212433
Region Västernorrland,2023,416,21.655387819000001
Region Västmanland,2019,552,18.436873747
Region Västmanland,2020,523,18.115691029000001
Region Västmanland,2021,555,19.878223496
Region Västmanland,2022,564,20.171673819999999
Region Västmanland,2023,483,20.041493775999999
Region Örebro län,2019,587,16.965317919
Region Örebro län,2020,554,16.298911445000002
Region Örebro län,2021,596,17.711738484000001
Region Örebro län,2022,493,16.006493506000002
Region Örebro län,2023,510,18.002117896000001
Region Östergötland,2019,631,12.487631110000001
Region Östergötland,2020,632,12.945514134
Region Östergötland,2021,670,13.448414291000001
Region Östergötland,2022,620,13.802315226999999
Region Östergötland,2023,617,14.558754129
Västra Götalandsregionen,2019,3268,17.207245155999999
Västra Götalandsregionen,2020,3339,17.636805409000001
Västra Götalandsregionen,2021,3631,18.937102326000002
Västra Götalandsregionen,2022,3330,18.933363657000001
Västra Götalandsregionen,2023,3310,19.480901654
