region,year,deliveries_n,births_n,singleton_deliveries_n,multiple_deliveries_n,girls_pct,boys_pct
Region Blekinge,2023,1278,1294,1262,32,49.072642968,50.927357032
Region Dalarna,2023,2415,2438,2393,45,49.097621001,50.861361772
Region Gotland,2023,448,454,442,12,51.321585903,48.678414097
Region Gävleborg,2023,2161,2180,2142,38,49.357798165,50.642201835
Region Halland,2023,2715,2747,2683,64,48.343647616,51.656352384
Region Jämtland Härjedalen,2023,1143,1157,1129,28,50.99394987,49.00605013
Region Jönköpings län,2023,3521,3576,3466,110,49.021252796,50.978747204
Region Kalmar län,2023,2086,2108,2064,44,48.149905123,51.850094877
Region Kronoberg,2023,1932,1957,1907,50,48.390393459,51.609606541
Region Norrbotten,2023,2008,2030,1987,43,46.84729064,53.15270936
Region Skåne,2023,12910,13079,12743,336,49.093967429,50.898386727
Region Stockholm,2023,25337,25679,24998,681,48.350792476,51.649207524
Region Sörmland,2023,2480,2513,2447,66,48.826104258,51.173895742
Region Uppsala,2023,3742,3797,3688,109,49.381090334,50.618909666
Region Värmland,2023,2252,2275,2228,47,49.142857143,50.857142857
Region Västerbotten,2023,2359,2385,2334,51,49.727463312,50.230607966
Region Västernorrland,2023,1918,1947,1889,58,48.587570621,51.412429379
Region Västmanland,2023,2440,2475,2406,69,48.848484848,51.151515152
Västra Götalandsregionen,2023,17042,17283,16801,482,48.868830643,51.131169357
Region Örebro,2023,2734,2773,2697,76,48.503425893,51.496574107
Region Östergötland,2023,4225,4289,4161,128,49.125670319,50.874329681
