year,csection_total_n,csection_total_pct,csection_emergency_n,csection_emergency_pct,csection_planned_n,csection_planned_pct,instrumental_vaginal_n,instrumental_vaginal_pct
1973,5755.0,5.3052231789,,,,,4724.0,4.5987753473
1974,7150.0,6.5535604623,,,,,5145.0,5.0465419662
1975,7780.0,7.5772332385,,,,,5309.0,5.5945456078
1976,9131.0,9.3636876378,,,,,6009.0,6.7987418537
1977,10085.0,10.586037138,,,,,6590.0,7.7363762297
1978,10408.0,11.276517368,,,,,6718.0,8.203687874
1979,10847.0,11.419697847,,,,,6563.0,7.8002804916
1980,11234.0,11.719418306,,,,,6350.0,7.5037814332
1981,11199.0,12.067497818,,,,,6050.0,7.4138522621
1982,10883.0,11.932590676,,,,,5887.0,7.3293410192
1983,10828.0,11.99286719,,,,,5934.0,7.468002366
1984,10585.0,11.510940015,,,,,6225.0,7.6501456293
1985,11443.0,11.808594072,,,,,6244.0,7.3062566551
1986,11332.0,11.303402392,,,,,6014.0,6.7633067554
1987,11322.0,10.980080299,,,,,5821.0,6.3415112428
1988,12021.0,10.908843414,,,,,6173.0,6.2878155112
1989,12180.0,10.69969693,,,,,6049.0,5.950518912
1990,12823.0,10.583525916,,,,,6567.0,6.0616409906
1991,13276.0,10.888839678,,,,,7073.0,6.5100739091
1992,13079.0,10.821164109,,,,,7155.0,6.638153378
1993,12940.0,11.219685606,,,,,7436.0,7.2622151905
1994,12493.0,11.416013305,,,,,7195.0,7.42204021
1995,11717.0,11.659286532,,,,,6533.0,7.3588051094
1996,11237.0,12.057125689,,,,,6067.0,7.4023010944
1997,11325.0,12.940490882,,,,,6187.0,8.1203816724
1998,11655.0,13.838262707,,,,,5934.0,8.177157976
1999,11987.0,14.198569127,,,,,5947.0,8.2098927344
2000,13060.0,14.821203627,,,,,6518.0,8.6840667759
2001,,,,,,,,
2001,14257.0,16.044881101,7264.0,8.1749327571,4946.0,5.5662468911,6660.0,8.927613941
2002,15077.0,16.173394407,7928.0,8.5045215134,5610.0,6.0179573272,7033.0,9.0000511876
2003,15824.0,16.374341622,8194.0,8.4789784663,6006.0,6.2148821904,7589.0,9.3905834313
2004,16691.0,16.786684099,8718.0,8.7679774716,6423.0,6.4598209796,7810.0,9.4393212391
2005,17078.0,17.206012735,8905.0,8.9717498187,6808.0,6.8590311921,7799.0,9.4903745528
2006,18268.0,17.744363824,9881.0,9.5977698128,7311.0,7.1014366058,8197.0,9.679628733
2007,18286.0,17.551976349,9713.0,9.3231076386,7505.0,7.2037396095,8362.0,9.7350284064
2008,18290.0,17.136539525,10022.0,9.3899616794,7329.0,6.8667959637,8386.0,9.4820275664
2009,18826.0,17.412617812,10311.0,9.5368905907,7528.0,6.9628273075,8363.0,9.3660055325
2010,19143.0,16.885866257,10559.0,9.3139979006,7685.0,6.7788686302,8663.0,9.1940482255
2011,18571.0,16.923805965,10421.0,9.496687414,7382.0,6.7272379321,8039.0,8.8183673022
2012,18888.0,17.026800444,10633.0,9.5852376703,7438.0,6.7050689167,7913.0,8.5970687613
2013,19240.0,17.257772276,10621.0,9.5267567228,7869.0,7.0582853452,7279.0,7.8908570561
2014,20130.0,17.66920923,11007.0,9.6614498758,8428.0,7.3977195924,7106.0,7.5759352645
2015,20034.0,17.390323085,10737.0,9.3201506918,8584.0,7.4512595267,6827.0,7.1736297915
2016,21137.0,17.630033697,11206.0,9.3467454042,9116.0,7.6035098255,6747.0,6.8320591362
2017,19964.0,17.222519367,10395.0,8.9675460239,8867.0,7.6493728325,6026.0,6.2800925443
2018,20074.0,17.283270338,10487.0,9.0290752236,8912.0,7.6730350332,5800.0,6.0370759735
2019,20315.0,17.733220437,10842.0,9.4641189256,8818.0,7.6973437268,5731.0,6.0810237256
2020,20251.0,17.918226139,10997.0,9.730222352,8607.0,7.6155336713,6161.0,6.6412987237
2021,21123.0,18.546029237,11862.0,10.414855788,8687.0,7.6272004917,6034.0,6.5041176217
2022,,,,,,,,
2022,19953.0,19.125442119,11137.0,10.675088903,8267.0,7.9241231896,5573.0,6.6051153199
2023,19178.0,19.50490216,10653.0,10.83458769,8047.0,8.1841666328,5630.0,7.1134359285
2023,,,,,,,,
