region,year,csection_total_n,csection_total_pct
Region Blekinge,2019,251.0,16.63353214
Region Blekinge,2020,261.0,17.730978261
Region Blekinge,2021,278.0,18.989071038
Region Blekinge,2022,287.0,21.562734786
Region Blekinge,2023,261.0,20.358814353
Region Dalarna,2019,504.0,16.315959858
Region Dalarna,2020,441.0,14.739304813
Region Dalarna,2021,388.0,13.472222222
Region Dalarna,2022,385.0,14.506405426
Region Dalarna,2023,400.0,16.032064128
Region Gotland,2019,102.0,19.805825243
Region Gotland,2020,81.0,17.270788913
Region Gotland,2021,105.0,19.699812383
Region Gotland,2022,97.0,20.905172414
Region Gotland,2023,100.0,21.69197397
Region Gävleborg,2019,554.0,19.835302542
Region Gävleborg,2020,484.0,17.992565056
Region Gävleborg,2021,532.0,19.917633845
Region Gävleborg,2022,459.0,19.432684166
Region Gävleborg,2023,427.0,20.094117647
Region Halland,2019,658.0,15.438761145
Region Halland,2020,648.0,15.988156921
Region Halland,2021,705.0,16.853932584
Region Halland,2022,643.0,16.563626996
Region Halland,2023,554.0,18.32616606
Region Jämtland Härjedalen,2019,211.0,15.606508876
Region Jämtland Härjedalen,2020,205.0,16.154452325
Region Jämtland Härjedalen,2021,213.0,15.95505618
Region Jämtland Härjedalen,2022,194.0,16.78200692
Region Jämtland Härjedalen,2023,222.0,19.254119688
Region Jönköpings län,2019,514.0,12.296650718
Region Jönköpings län,2020,494.0,11.684011353
Region Jönköpings län,2021,552.0,13.565986729
Region Jönköpings län,2022,498.0,13.084603258
Region Jönköpings län,2023,494.0,13.729849917
Region Kalmar län,2019,347.0,14.297486609
Region Kalmar län,2020,352.0,14.102564103
Region Kalmar län,2021,386.0,15.678310317
Region Kalmar län,2022,338.0,15.273384546
Region Kalmar län,2023,344.0,16.195856874
Region Kronoberg,2019,387.0,18.561151079
Region Kronoberg,2020,371.0,17.700381679
Region Kronoberg,2021,366.0,17.420276059
Region Kronoberg,2022,344.0,18.405564473
Region Kronoberg,2023,372.0,20.43956044
Region Norrbotten,2019,373.0,15.587129127
Region Norrbotten,2020,375.0,16.311439756
Region Norrbotten,2021,410.0,17.161992465
Region Norrbotten,2022,419.0,20.009551098
Region Norrbotten,2023,368.0,18.436873747
Region Skåne,2019,2688.0,17.26618705
Region Skåne,2020,2733.0,17.80340043
Region Skåne,2021,2777.0,17.912662065
Region Skåne,2022,2600.0,18.175463125
Region Skåne,2023,2426.0,18.553074335
Region Stockholm,2019,5789.0,20.443549811
Region Stockholm,2020,5925.0,20.89431181
Region Stockholm,2021,5979.0,20.731622746
Region Stockholm,2022,5735.0,21.870114022
Region Stockholm,2023,5566.0,21.606304103
Region Sörmland,2019,589.0,20.013591573
Region Sörmland,2020,519.0,17.983367983
Region Sörmland,2021,598.0,20.388680532
Region Sörmland,2022,617.0,22.444525282
Region Sörmland,2023,541.0,22.420223788
Region Uppsala,2019,786.0,18.29183151
Region Uppsala,2020,790.0,18.953934741
Region Uppsala,2021,809.0,19.030816279
Region Uppsala,2022,839.0,21.144153226
Region Uppsala,2023,747.0,19.793322734
Region Värmland,2019,570.0,20.622286541
Region Värmland,2020,556.0,20.329067642
Region Värmland,2021,550.0,20.968356843
Region Värmland,2022,534.0,21.266427718
Region Värmland,2023,516.0,22.771403354
Region Västerbotten,2019,572.0,19.015957447
Region Västerbotten,2020,577.0,19.310575636
Region Västerbotten,2021,580.0,20.258470136
Region Västerbotten,2022,541.0,20.546904671
Region Västerbotten,2023,504.0,20.766378245
Region Västernorrland,2019,376.0,15.315682281
Region Västernorrland,2020,390.0,17.210944395
Region Västernorrland,2021,443.0,18.827029324
Region Västernorrland,2022,416.0,20.362212433
Region Västernorrland,2023,416.0,21.655387819
Region Västmanland,2019,552.0,18.436873747
Region Västmanland,2020,523.0,18.115691029
Region Västmanland,2021,555.0,19.878223496
Region Västmanland,2022,564.0,20.17167382
Region Västmanland,2023,483.0,20.041493776
Region Örebro län,2019,587.0,16.965317919
Region Örebro län,2020,554.0,16.298911445
Region Örebro län,2021,596.0,17.711738484
Region Örebro län,2022,493.0,16.006493506
Region Örebro län,2023,510.0,18.002117896
Region Östergötland,2019,631.0,12.48763111
Region Östergötland,2020,632.0,12.945514134
Region Östergötland,2021,670.0,13.448414291
Region Östergötland,2022,620.0,13.802315227
Region Östergötland,2023,617.0,14.558754129
Västra Götalandsregionen,2019,3268.0,17.207245156
Västra Götalandsregionen,2020,3339.0,17.636805409
Västra Götalandsregionen,2021,3631.0,18.937102326
Västra Götalandsregionen,2022,3330.0,18.933363657
Västra Götalandsregionen,2023,3310.0,19.480901654
