region,year,deliveries_n,births_n,singleton_deliveries_n,multiple_deliveries_n,girls_pct,boys_pct
Region Blekinge,2023,1278.0,1294.0,1262.0,32.0,49.072642968,50.927357032
Region Dalarna,2023,2415.0,2438.0,2393.0,45.0,49.097621001,50.861361772
Region Gotland,2023,448.0,454.0,442.0,12.0,51.321585903,48.678414097
Region Gävleborg,2023,2161.0,2180.0,2142.0,38.0,49.357798165,50.642201835
Region Halland,2023,2715.0,2747.0,2683.0,64.0,48.343647616,51.656352384
Region Jämtland Härjedalen,2023,1143.0,1157.0,1129.0,28.0,50.99394987,49.00605013
Region Jönköpings län,2023,3521.0,3576.0,3466.0,110.0,49.021252796,50.978747204
Region Kalmar län,2023,2086.0,2108.0,2064.0,44.0,48.149905123,51.850094877
Region Kronoberg,2023,1932.0,1957.0,1907.0,50.0,48.390393459,51.609606541
Region Norrbotten,2023,2008.0,2030.0,1987.0,43.0,46.84729064,53.15270936
Region Skåne,2023,12910.0,13079.0,12743.0,336.0,49.093967429,50.898386727
Region Stockholm,2023,25337.0,25679.0,24998.0,681.0,48.350792476,51.649207524
Region Sörmland,2023,2480.0,2513.0,2447.0,66.0,48.826104258,51.173895742
Region Uppsala,2023,3742.0,3797.0,3688.0,109.0,49.381090334,50.618909666
Region Värmland,2023,2252.0,2275.0,2228.0,47.0,49.142857143,50.857142857
Region Västerbotten,2023,2359.0,2385.0,2334.0,51.0,49.727463312,50.230607966
Region Västernorrland,2023,1918.0,1947.0,1889.0,58.0,48.587570621,51.412429379
Region Västmanland,2023,2440.0,2475.0,2406.0,69.0,48.848484848,51.151515152
Västra Götalandsregionen,2023,17042.0,17283.0,16801.0,482.0,48.868830643,51.131169357
Region Örebro,2023,2734.0,2773.0,2697.0,76.0,48.503425893,51.496574107
Region Östergötland,2023,4225.0,4289.0,4161.0,128.0,49.125670319,50.874329681
